onboardID	acxiom	ancestry	beenverified	clubhouse	infinitemediaconcepts	intel	mcdonalds	mediaocean	mylife	name	neustar	oracle	quora	target	tesla	thomsonreuters	tmobile	twitter	uber	walgreens	walmart	xfinity
351	0	0	0	0	0	0	0	0	0	Thad	0	1	0	1	0	0	1	1	0	0	0	0
266	0	0	0	0	0	0	1	0	0	Rigoberto	0	1	1	0	0	0	1	0	0	0	0	0
86	0	0	0	0	0	1	1	0	0	Haven	0	0	0	0	0	0	0	1	1	0	1	0
72	0	0	0	1	0	0	0	0	0	Gaines	0	0	1	0	0	0	1	1	1	0	1	0
555	0	0	0	0	0	0	0	0	0	Marjory	0	0	0	0	0	0	1	1	0	0	1	0
424	0	0	0	1	0	0	0	0	0	Jeannie	0	0	0	0	0	1	0	1	1	1	0	0
376	0	0	0	1	0	0	0	0	0	Oneta	0	1	0	0	0	0	0	1	0	1	1	0
51	0	0	0	0	0	0	0	0	0	Flonnie	0	0	1	0	0	0	1	0	0	0	0	1
939	0	0	0	0	0	0	0	0	0	Wilford	0	1	0	0	0	0	0	1	0	1	0	0
720	0	0	0	0	0	0	0	0	0	Lorean	0	0	0	0	0	1	0	0	1	1	0	0
259	0	1	0	1	0	0	0	0	0	Willa	1	0	1	0	0	0	0	0	1	0	0	0
962	0	0	0	1	0	0	0	0	0	Leanne	0	0	0	0	0	0	0	1	1	0	0	1
276	0	0	0	0	0	1	0	0	0	Glenna	0	0	0	1	0	0	0	1	0	1	0	0
739	0	0	0	0	0	1	0	0	0	Mozelle	0	0	1	0	0	0	0	0	0	0	0	0
417	0	1	0	0	0	0	0	0	0	Jaslene	0	0	0	0	0	0	0	0	0	0	0	1
542	0	0	0	0	0	0	0	0	0	Conard	0	0	0	0	0	0	0	0	0	1	0	0
87	0	0	0	0	0	0	0	0	0	Arleen	0	0	0	1	0	0	1	1	0	0	0	0
397	0	0	0	0	0	0	0	0	0	Thomas	0	0	0	1	0	0	0	1	0	0	0	1
896	0	0	0	0	0	0	0	0	0	Laurine	0	0	1	0	0	0	0	0	0	0	1	0
130	0	0	0	0	0	0	0	0	0	Sherron	0	1	0	0	0	0	1	0	0	0	0	0
977	0	0	0	0	0	0	0	0	0	Tatiana	0	1	0	0	0	0	1	1	1	0	0	0
303	0	0	0	0	0	0	0	0	0	Justin	0	1	0	0	0	0	0	0	0	0	0	0
609	0	0	0	1	0	0	0	0	0	Cyril	0	0	0	1	0	0	1	1	1	0	0	0
197	0	0	0	0	0	0	0	0	0	Vashon	0	0	0	0	0	0	0	1	0	1	0	1
206	0	0	0	0	0	0	0	0	0	Amara	0	0	0	0	0	0	0	1	0	1	1	1
509	0	0	0	0	0	0	0	0	0	Sue	0	0	1	0	0	1	0	1	0	1	1	0
357	0	0	0	0	0	0	0	0	0	Izayah	0	0	1	0	0	0	1	0	0	0	0	0
287	1	0	0	0	1	0	0	0	0	Tobie	0	0	0	1	0	0	0	0	0	1	1	0
361	0	0	0	0	0	0	0	0	0	Earle	0	0	0	0	0	0	0	0	1	0	0	1
276	0	0	0	0	0	1	0	0	0	Abby	0	0	0	1	0	0	0	1	0	1	0	0
108	0	0	0	1	0	0	0	0	0	Aubree	0	0	0	0	0	1	0	0	0	0	0	0
780	0	1	0	0	0	0	0	0	0	Cohen	0	0	1	0	0	0	0	0	1	0	0	0
167	0	0	0	0	0	0	0	0	0	Ilona	0	0	0	0	0	1	1	1	0	0	0	0
146	0	0	0	0	0	0	0	0	0	Bobbie	0	0	1	0	1	0	1	1	1	1	0	0
366	0	0	0	0	0	0	0	0	0	Loyal	0	0	0	0	0	0	1	0	0	1	0	0
232	0	0	0	0	0	0	1	0	0	Juston	0	0	0	0	0	0	0	1	0	0	0	0
683	0	0	0	0	0	0	0	0	0	Bridgette	0	0	0	1	0	0	0	1	0	1	1	1
614	0	0	0	0	0	1	0	0	0	Carma	0	0	1	0	0	0	1	0	0	1	0	0
886	0	0	0	0	0	0	0	0	1	Kamari	0	0	0	0	0	0	0	1	1	0	0	0
211	0	1	0	0	0	0	0	0	0	Helga	0	0	0	0	0	0	1	0	1	0	1	0
65	0	0	0	0	0	0	0	0	0	Liz	0	0	1	1	0	0	0	0	1	0	1	0
509	0	0	0	0	0	0	0	0	0	Wallace	0	0	1	0	0	1	0	1	0	1	1	0
647	0	0	0	0	0	0	1	0	0	Moses	0	0	0	0	0	0	1	0	1	1	1	0
940	1	0	0	0	0	0	0	0	0	Emily	0	0	0	0	0	0	1	0	0	0	1	0
298	0	0	0	0	0	0	0	0	0	Catrina	0	0	0	0	1	0	0	0	0	0	0	0
786	0	0	0	0	0	0	0	0	0	Rose	0	0	1	0	0	0	0	1	0	0	1	0
796	0	0	0	0	0	0	0	0	0	Coen	0	0	0	1	0	0	0	1	1	0	1	0
931	0	0	0	0	0	0	0	0	0	Ivah	0	0	0	0	0	0	0	0	1	0	1	0
216	0	0	0	0	0	0	0	0	0	Joann	0	0	0	1	0	0	0	1	0	0	1	0
541	0	0	0	1	0	0	0	0	0	Hillery	0	0	0	0	0	0	0	0	0	0	0	0
368	0	0	0	0	0	0	0	0	0	Kenyatta	0	0	1	0	0	0	1	1	1	0	0	1
697	0	1	0	0	0	0	0	0	0	Venie	0	1	0	1	0	0	0	1	1	0	0	0
576	0	0	0	0	0	0	0	0	0	Almedia	0	1	0	0	1	0	0	1	1	0	0	0
730	0	0	0	0	0	0	0	0	0	Fallon	0	0	0	1	0	0	1	0	0	1	0	0
847	0	0	0	0	0	0	0	0	0	Corrie	0	0	0	0	0	0	0	0	0	0	1	0
470	0	0	0	0	0	0	0	0	0	Dorthey	0	0	0	0	0	0	0	1	1	0	0	0
455	0	1	0	0	0	0	0	0	0	Amelie	0	0	0	1	0	0	0	0	0	1	1	0
535	0	0	0	0	0	0	0	0	0	Jailyn	0	0	0	1	0	0	1	0	1	0	0	0
613	0	0	0	0	0	0	0	0	0	Leandra	0	0	0	0	0	0	1	1	0	0	0	0
288	0	0	0	0	0	0	0	0	0	Washington	0	0	0	0	0	0	0	1	0	1	0	0
779	0	1	0	0	0	0	0	0	0	Octa	0	0	0	0	0	0	0	1	0	0	0	0
560	0	0	0	0	0	0	0	0	0	Brennon	0	0	0	0	0	0	1	0	1	0	0	0
981	0	0	0	0	0	0	1	0	0	Devyn	0	0	0	1	0	0	0	0	1	0	0	0
392	0	0	0	0	0	0	0	0	0	Katherin	0	0	0	0	0	0	0	1	0	0	0	0
802	0	0	0	1	0	0	1	0	0	Pearly	0	0	0	1	0	0	0	1	0	0	0	1
980	0	1	0	0	0	0	0	0	0	Phillip	0	1	0	0	0	0	1	0	0	0	1	0
582	0	0	0	0	0	0	1	0	0	Dee	0	0	1	0	0	0	0	0	1	1	0	0
571	0	0	0	0	0	1	0	0	0	Jasen	0	0	0	1	0	0	0	0	0	0	0	0
613	0	0	0	0	0	0	0	0	0	Marissa	0	0	0	0	0	0	1	1	0	0	0	0
349	0	0	0	0	0	0	0	0	0	Alonso	0	0	0	1	0	0	0	1	0	1	0	0
950	0	0	0	0	0	0	0	0	0	Ayleen	0	0	0	0	0	0	1	1	0	0	0	1
127	0	0	0	1	0	0	0	0	0	Idell	0	1	0	0	1	0	0	0	1	1	0	0
363	0	1	0	0	0	0	0	0	0	Harrie	0	0	0	1	0	0	1	0	1	0	1	0
200	0	0	0	1	0	0	0	0	0	China	0	0	0	1	0	0	1	0	0	1	0	0
265	0	0	0	0	0	0	0	0	0	Fronia	0	0	0	0	0	0	1	0	0	0	0	0
251	0	0	0	0	0	0	0	0	0	Cappie	0	0	1	0	0	0	0	0	0	0	0	0
930	0	1	0	0	0	0	1	0	0	Yair	0	0	0	0	0	0	1	1	1	1	0	0
484	1	0	0	0	0	0	1	0	0	Isis	0	0	0	0	0	0	0	0	1	0	0	0
